architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
fcmnr,1,prediction,29,240122,3,tanh,0.001,16,16062.527148587164,1,flight-price-prediction,0.11149940779054424
fcmnr,1,prediction,29,240122,2,elu,0.01,64,3001.3932865866805,1,flight-price-prediction,0.5967102920803061
fcmnr,1,prediction,29,240122,3,sigmoid,0.001,128,20500.56552540119,1,flight-price-prediction,0.08736160290153554
fcmnr,1,prediction,29,240122,2,elu,1e-05,32,20687.342464909318,1,flight-price-prediction,0.08657285331477006
fcmnr,1,prediction,29,240122,3,tanh,1e-05,64,20739.517773020816,1,flight-price-prediction,0.08635505821725503
fcunet,1,prediction,29,240122,2,sigmoid,0.001,32,16062.526544960234,1,flight-price-prediction,0.09259982351733279
fcunet,1,prediction,29,240122,2,relu,0.0001,128,10401.670741283997,1,flight-price-prediction,0.14299502073281214
fcunet,1,prediction,29,240122,1,relu,1e-05,64,20208.904054564486,1,flight-price-prediction,0.0736005831533374
fcunet,1,prediction,29,240122,3,relu,0.01,128,1723.8974723594145,1,flight-price-prediction,0.8628048634876624
fcunet,1,prediction,29,240122,2,relu,1e-05,128,20648.01851502297,1,flight-price-prediction,0.07203534432243976
fcunet,1,prediction,29,240122,3,tanh,0.001,32,12573.770905554185,1,flight-price-prediction,0.11829284424521926
fcunet,1,prediction,29,240122,1,tanh,0.001,128,16510.74389486981,1,flight-price-prediction,0.0900860150685245
fcunet,1,prediction,29,240122,1,elu,0.001,16,5934.010380352557,1,flight-price-prediction,0.2506546210688328
fcunet,1,prediction,29,240122,2,tanh,1e-05,16,20401.62167774494,1,flight-price-prediction,0.07290533795792828
fcunet,1,prediction,29,240122,3,elu,0.01,16,1767.8517823652442,1,flight-price-prediction,0.8413528431188874
fcunet,1,prediction,29,240122,2,elu,0.0001,128,11642.59828184434,1,flight-price-prediction,0.12775388167650228
fcunet,1,prediction,29,240122,3,elu,0.0001,16,2308.857129950225,1,flight-price-prediction,0.6442092514134282
fcunet,1,prediction,29,240122,3,tanh,0.0001,32,18779.260660538203,1,flight-price-prediction,0.07920371042249344
fcunet,1,prediction,29,240122,1,sigmoid,0.0001,16,17098.147746898154,1,flight-price-prediction,0.08699112589991649
fcunet,1,prediction,29,240122,1,relu,0.0001,64,1716.1610722236871,1,flight-price-prediction,0.8666943606747435
fcunet,1,prediction,29,240122,2,elu,0.001,32,1925.8018146882248,1,flight-price-prediction,0.7723469320474129
fcunet,1,prediction,29,240122,2,relu,0.001,128,1487.3871233057907,1,flight-price-prediction,1.0
fcunet,1,prediction,29,240122,1,tanh,0.0001,128,20286.20785938557,1,flight-price-prediction,0.07332011648582412
fcunet,1,prediction,29,240122,1,relu,0.001,32,1670.3922363826214,1,flight-price-prediction,0.8904418321093589
fcunet,1,prediction,29,240122,2,relu,0.001,16,4804.114733549369,1,flight-price-prediction,0.3096069111169794
fcunet,1,prediction,29,240122,1,relu,0.0001,32,1656.3552559367765,1,flight-price-prediction,0.8979879877668977
fcunet,1,prediction,29,240122,2,elu,0.01,16,14340.44414617145,1,flight-price-prediction,0.10371973895263815
fcunet,1,prediction,29,240122,1,sigmoid,0.01,32,5924.325500159878,1,flight-price-prediction,0.2510643824796006
fcunet,1,prediction,29,240122,1,elu,0.001,64,1896.326156060824,1,flight-price-prediction,0.7843519526174185
fcunet,1,prediction,29,240122,1,sigmoid,0.01,64,16062.526566531118,1,flight-price-prediction,0.0925998233929775
fcunet,1,prediction,29,240122,3,elu,0.01,32,11719.215685282981,1,flight-price-prediction,0.12691865763454246
fcunet,1,prediction,29,240122,2,relu,0.01,128,1882.9182335362893,1,flight-price-prediction,0.7899371819839167
fcunet,1,prediction,29,240122,2,relu,0.01,32,2446.3915374253093,1,flight-price-prediction,0.6079922614804263
fcunet,1,prediction,29,240122,2,sigmoid,0.01,128,5273.984962814785,1,flight-price-prediction,0.28202339100184987
fcunet,1,prediction,29,240122,3,relu,0.01,32,2055.1320500073984,1,flight-price-prediction,0.7237428482030808
mnr,0,segmentation,3,3339,1,relu,0.0001,32,0.6128519,2,brain-mri-segmentation,0.8966583956154309
mnr,0,segmentation,3,3339,2,relu,0.001,64,0.66795695,2,brain-mri-segmentation,0.9772821249753433
mnr,0,segmentation,3,3339,1,elu,0.01,32,0.0052360855,2,brain-mri-segmentation,0.007660872102599701
mnr,0,segmentation,3,3339,1,sigmoid,0.001,64,0.5303484,2,brain-mri-segmentation,0.7759482273959024
mnr,0,segmentation,3,3339,1,tanh,0.0001,8,0.55848515,2,brain-mri-segmentation,0.8171148666978812
mnr,0,segmentation,3,3339,1,relu,0.0001,8,0.051095537999999996,2,brain-mri-segmentation,0.07475744649920688
