CNN,segmentation,30,480,2,"(4, 4, 30)",elu,0.0001,128,339,13.145426185801625,0.7246094
CNN,segmentation,30,480,2,"(4, 4, 30)",elu,0.01,128,338,11.866678450256586,0.7128906
CNN,segmentation,30,480,1,"(4, 4, 30)",tanh,0.01,16,228,23.511262897402048,0.728125
CNN,segmentation,30,480,5,"(4, 4, 30)",sigmoid,0.001,64,264,11.648994600400329,0.728125
CNN,segmentation,30,480,5,"(4, 4, 30)",sigmoid,0.01,16,224,22.893950136378407,0.7230469
CNN,segmentation,30,480,2,"(4, 4, 30)",tanh,0.01,16,227,22.727348567917943,0.7050781
CNN,segmentation,30,480,3,"(4, 4, 30)",sigmoid,0.0001,16,234,23.115148093551397,0.71953124
CNN,segmentation,30,480,3,"(4, 4, 30)",sigmoid,0.001,64,259,11.032353222370148,0.7300781
CNN,segmentation,30,480,1,"(4, 4, 30)",tanh,0.0001,128,339,11.344838090240955,0.68671876
CNN,segmentation,30,480,4,"(4, 4, 30)",relu,0.001,64,267,11.481455391272902,0.7300781
CNN,segmentation,30,480,4,"(4, 4, 30)",sigmoid,0.0001,16,230,22.290166603401303,0.71367186
CNN,segmentation,30,480,4,"(4, 4, 30)",elu,0.001,128,351,12.431334923952818,0.7042969
CNN,segmentation,30,480,1,"(4, 4, 30)",elu,0.0001,16,221,21.477046327665448,0.6929687
CNN,segmentation,30,480,4,"(4, 4, 30)",relu,0.01,16,223,21.404178623110056,0.7007812
CNN,segmentation,30,480,2,"(4, 4, 30)",sigmoid,0.001,8,215,37.785025319084525,0.7007812
CNN,segmentation,30,480,2,"(4, 4, 30)",elu,1e-05,16,227,22.125459918752313,0.71953124
CNN,segmentation,30,480,5,"(4, 4, 30)",sigmoid,0.0001,8,218,38.853074027225375,0.7066406
CNN,segmentation,30,480,1,"(4, 4, 30)",relu,0.01,32,240,14.622965911403298,0.715625
CNN,segmentation,30,480,4,"(4, 4, 30)",sigmoid,1e-05,8,218,38.482930986210704,0.6898438
CNN,segmentation,30,480,1,"(4, 4, 30)",sigmoid,0.001,128,333,11.32461223192513,0.6988281
CNN,segmentation,30,480,3,"(4, 4, 30)",elu,1e-05,64,265,11.221516322344542,0.7089844
CNN,segmentation,30,480,1,"(4, 4, 30)",tanh,0.001,128,311,10.706962501630187,0.690625
CNN,segmentation,30,480,4,"(4, 4, 30)",relu,1e-05,8,221,37.93234496563673,0.73125
CNN,segmentation,30,480,3,"(4, 4, 30)",tanh,1e-05,64,261,11.069707326591015,0.709375
CNN,segmentation,30,480,2,"(4, 4, 30)",sigmoid,0.01,8,218,38.459578454494476,0.7175781
CNN,segmentation,30,480,1,"(4, 4, 30)",sigmoid,0.0001,16,224,21.637417828664184,0.7210938
CNN,segmentation,30,480,3,"(4, 4, 30)",relu,0.0001,16,225,21.575002497062087,0.7
CNN,segmentation,30,480,1,"(4, 4, 30)",relu,0.0001,64,274,11.369266372174025,0.7125
CNN,segmentation,30,480,4,"(4, 4, 30)",tanh,0.001,128,343,11.790172599256039,0.721875
CNN,segmentation,30,480,4,"(4, 4, 30)",elu,1e-05,64,279,11.774358313530684,0.72734374
CNN,segmentation,30,480,2,"(4, 4, 30)",tanh,0.01,64,267,11.516018737107515,0.7277344
CNN,segmentation,30,480,4,"(4, 4, 30)",tanh,1e-05,32,237,13.922310583293438,0.69375
CNN,segmentation,30,480,1,"(4, 4, 30)",elu,1e-05,32,239,13.873850652948022,0.7441406
CNN,segmentation,30,480,2,"(4, 4, 30)",tanh,1e-05,16,225,21.53928966075182,0.7203125
CNN,segmentation,30,480,3,"(4, 4, 30)",elu,1e-05,128,324,10.946976667270064,0.690625
CNN,segmentation,30,480,1,"(4, 4, 30)",tanh,0.0001,32,242,14.05184218659997,0.728125
CNN,segmentation,30,480,1,"(4, 4, 30)",elu,0.01,8,218,39.22535450384021,0.72265625
CNN,segmentation,30,480,4,"(4, 4, 30)",elu,0.01,8,217,38.123547464609146,0.72929686
CNN,segmentation,30,480,3,"(4, 4, 30)",relu,1e-05,32,243,14.185990208759904,0.7128906
CNN,segmentation,30,480,5,"(4, 4, 30)",tanh,1e-05,64,266,11.448888948187232,0.7171875
CNN,segmentation,30,480,4,"(4, 4, 30)",relu,0.01,128,339,11.92782036587596,0.71953124
CNN,segmentation,30,480,5,"(4, 4, 30)",relu,0.01,32,239,14.463979443535209,0.7289063
CNN,segmentation,30,480,2,"(4, 4, 30)",sigmoid,1e-05,8,220,39.67470498755574,0.70039064
CNN,segmentation,30,480,4,"(4, 4, 30)",elu,0.01,64,268,11.260978495702147,0.6996094
CNN,segmentation,30,480,1,"(4, 4, 30)",sigmoid,0.001,32,240,13.970674876123667,0.715625
CNN,segmentation,30,480,1,"(4, 4, 30)",tanh,0.0001,64,265,11.343441724777222,0.7152344
CNN,segmentation,30,480,2,"(4, 4, 30)",sigmoid,0.001,16,232,23.072971111163497,0.7203125
CNN,segmentation,30,480,3,"(4, 4, 30)",sigmoid,1e-05,32,242,14.315485823899508,0.7171875
CNN,segmentation,30,480,4,"(4, 4, 30)",relu,0.01,64,265,11.30385721474886,0.7199219
CNN,segmentation,30,480,5,"(4, 4, 30)",relu,0.0001,64,282,11.625576676800847,0.7019531
CNN,segmentation,30,480,3,"(4, 4, 30)",tanh,0.01,128,329,11.438820708543062,0.7285156
CNN,segmentation,30,480,5,"(4, 4, 30)",sigmoid,1e-05,32,239,14.019836891442537,0.7167969
CNN,segmentation,30,480,5,"(4, 4, 30)",sigmoid,1e-05,64,275,11.652583135291934,0.7234375
CNN,segmentation,30,480,2,"(4, 4, 30)",relu,0.001,8,216,38.37968755327165,0.71914065
CNN,segmentation,30,480,5,"(4, 4, 30)",elu,0.01,16,222,21.34459449723363,0.71796876
CNN,segmentation,30,480,3,"(4, 4, 30)",relu,0.001,32,245,14.179739171639085,0.7210938
CNN,segmentation,30,480,4,"(4, 4, 30)",tanh,0.0001,32,238,14.60816772468388,0.7128906
CNN,segmentation,30,480,4,"(4, 4, 30)",relu,0.01,8,218,37.70589565299451,0.7078125
CNN,segmentation,30,480,4,"(4, 4, 30)",sigmoid,0.01,32,238,13.951934650540352,0.7207031
CNN,segmentation,30,480,4,"(4, 4, 30)",tanh,0.01,64,267,11.066628482192755,0.715625
CNN,segmentation,30,480,3,"(4, 4, 30)",elu,0.001,32,233,13.436604456976056,0.7164062
