architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,0,Segmentation,30,7299,1,elu,0.001,32,0.8445078000000001,3,enrique-reef-crop1,0.9785682213339808
CNN,0,Segmentation,30,7299,1,sigmoid,1e-05,64,0.81933314,3,enrique-reef-crop1,0.9493972388292747
CNN,0,Segmentation,30,7299,5,sigmoid,0.0001,8,0.85213727,3,enrique-reef-crop1,0.9874088227915645
CNN,0,Segmentation,30,7299,4,elu,0.001,16,0.8558621,3,enrique-reef-crop1,0.9917249466543299
CNN,0,Segmentation,30,7299,2,tanh,1e-05,32,0.83806,3,enrique-reef-crop1,0.9710968727241547
CNN,0,Segmentation,30,7299,1,elu,0.01,8,0.25593403,3,enrique-reef-crop1,0.2965619838158246
CNN,0,Segmentation,30,7299,3,sigmoid,0.001,64,0.860075,3,enrique-reef-crop1,0.996606618629009
CNN,0,Segmentation,30,7299,2,relu,0.01,64,0.85000515,3,enrique-reef-crop1,0.9849382418495405
CNN,0,Segmentation,30,7299,4,relu,0.001,8,0.8434546,3,enrique-reef-crop1,0.9773478323089072
CNN,0,Segmentation,30,7299,1,sigmoid,0.0001,128,0.8391389000000001,3,enrique-reef-crop1,0.9723470414662282
CNN,0,Segmentation,30,7299,5,elu,0.001,64,0.8563245,3,enrique-reef-crop1,0.9922607498115593
CNN,0,Segmentation,30,7299,4,sigmoid,0.001,8,0.8630035,3,enrique-reef-crop1,1.0
CNN,0,Segmentation,30,7299,4,tanh,0.001,8,0.85691535,3,enrique-reef-crop1,0.992945393616596
CNN,0,Segmentation,30,7299,5,tanh,0.001,32,0.8544492,3,enrique-reef-crop1,0.9900877574656418
CNN,0,Segmentation,30,7299,2,elu,1e-05,8,0.8456123999999999,3,enrique-reef-crop1,0.979848169793054
CNN,0,Segmentation,30,7299,2,elu,0.001,64,0.84846383,3,enrique-reef-crop1,0.9831522467753607
CNN,0,Segmentation,30,7299,4,elu,0.01,64,0.8616163,3,enrique-reef-crop1,0.9983925905283119
CNN,0,Segmentation,30,7299,2,elu,0.0001,128,0.8455867,3,enrique-reef-crop1,0.9798183900760541
CNN,0,Segmentation,30,7299,2,sigmoid,0.01,8,0.8552199,3,enrique-reef-crop1,0.9909808013524858
CNN,0,Segmentation,30,7299,3,sigmoid,1e-05,32,0.8511868,3,enrique-reef-crop1,0.9863074715224214
CNN,0,Segmentation,30,7299,1,tanh,0.001,8,0.8416564000000001,3,enrique-reef-crop1,0.9752641791139898
CNN,0,Segmentation,30,7299,2,tanh,0.0001,8,0.8533446,3,enrique-reef-crop1,0.9888078090065683
CNN,0,Segmentation,30,7299,1,elu,0.0001,8,0.84016645,3,enrique-reef-crop1,0.9735377087114941
CNN,0,Segmentation,30,7299,5,tanh,0.0001,64,0.8369810999999999,3,enrique-reef-crop1,0.9698467039820811
CNN,0,Segmentation,30,7299,5,tanh,0.01,128,0.8570181,3,enrique-reef-crop1,0.9930644545474033
CNN,0,Segmentation,30,7299,5,elu,0.001,16,0.8567611999999999,3,enrique-reef-crop1,0.9927667732517885
CNN,0,Segmentation,30,7299,1,elu,0.0001,128,0.8354140999999999,3,enrique-reef-crop1,0.9680309523657783
CNN,0,Segmentation,30,7299,4,relu,0.001,16,0.8482583,3,enrique-reef-crop1,0.9829140901514304
CNN,0,Segmentation,30,7299,1,sigmoid,0.001,16,0.84124535,3,enrique-reef-crop1,0.9747878774535677
CNN,0,Segmentation,30,7299,1,sigmoid,0.001,128,0.8416049999999999,3,enrique-reef-crop1,0.9752046196799896
CNN,0,Segmentation,30,7299,3,elu,0.01,64,0.85799426,3,enrique-reef-crop1,0.9941955739461079
CNN,0,Segmentation,30,7299,1,elu,0.01,32,0.8437372,3,enrique-reef-crop1,0.9776752933215218
CNN,0,Segmentation,30,7299,5,relu,0.0001,64,0.8465372,3,enrique-reef-crop1,0.9809197761075128
CNN,0,Segmentation,30,7299,3,tanh,0.001,16,0.8580969999999999,3,enrique-reef-crop1,0.9943146232894766
CNN,0,Segmentation,30,7299,5,elu,1e-05,16,0.8405518,3,enrique-reef-crop1,0.9739842306549161
