architecture,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,segmentation,30,480,5,elu,0.01,8,0.709375,3,indian-pines,0.9680616881057269
CNN,segmentation,30,480,3,sigmoid,0.01,8,0.72578126,3,indian-pines,0.9461786875015208
CNN,segmentation,30,480,5,elu,0.01,64,0.71484375,3,indian-pines,0.9606557516939891
CNN,segmentation,30,480,4,sigmoid,0.001,64,0.728125,3,indian-pines,0.9431330609442059
CNN,segmentation,30,480,2,tanh,0.001,32,0.7132813,3,indian-pines,0.9627600779664348
CNN,segmentation,30,480,1,elu,0.001,128,0.68710935,3,indian-pines,0.9994315460850591
CNN,segmentation,30,480,3,relu,0.001,128,0.7171875,3,indian-pines,0.9575163538126362
CNN,segmentation,30,480,3,elu,0.001,8,0.72148436,3,indian-pines,0.9518137856792903
CNN,segmentation,30,480,5,tanh,0.01,64,0.7042969,3,indian-pines,0.9750415769258675
CNN,segmentation,30,480,2,relu,0.001,32,0.71171874,3,indian-pines,0.9648737927007514
CNN,segmentation,30,480,4,sigmoid,0.0001,8,0.7242187,3,indian-pines,0.9482201439979387
CNN,segmentation,30,480,3,relu,0.01,128,0.69257814,3,indian-pines,0.9915397560771988
CNN,segmentation,30,480,2,sigmoid,0.001,128,0.71601564,3,indian-pines,0.9590834635958511
CNN,segmentation,30,480,3,sigmoid,0.0001,8,0.7203125,3,indian-pines,0.9533622698481561
CNN,segmentation,30,480,5,elu,0.001,8,0.7109375,3,indian-pines,0.96593408
CNN,segmentation,30,480,1,sigmoid,1e-05,128,0.7144531,3,indian-pines,0.9611810208395765
CNN,segmentation,30,480,3,elu,0.0001,128,0.70820314,3,indian-pines,0.9696635346745286
